epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2987,2.19969,2.87007,4.11178,2.15772,0.28838,0.2447,0.03317,0.01316,0.28901,0.18649,0.03453,0.01135,2.03151,2.01621,6.92942,2.24849,0.00010948,0.00010948,0.00010948
2,27.7025,1.71053,1.34137,2.67942,1.69233,0.28646,0.19997,0.0312,0.01233,0.28584,0.15358,0.02601,0.00884,2.02943,1.88436,inf,2.2681,0.000223348,0.000223348,0.000223348
3,41.4208,1.60617,1.26822,2.43412,1.67102,0.31891,0.26387,0.13525,0.05903,0.32005,0.2307,0.13248,0.04664,1.98311,1.57826,10.6247,2.3082,0.000336835,0.000336835,0.000336835
4,55.2406,1.64535,1.25869,2.37236,1.66139,0.31892,0.28656,0.18006,0.07667,0.34722,0.26481,0.21634,0.07671,2.00824,1.82771,8.71975,2.31113,0.000449941,0.000449941,0.000449941
5,69.4757,1.62402,1.27871,2.2151,1.65081,0.32564,0.30317,0.14918,0.06176,0.34094,0.29267,0.17508,0.06083,2.0469,1.51868,5.26804,2.34505,0.00047283,0.00047283,0.00047283
6,82.9534,1.58148,1.19572,2.08711,1.62869,0.59117,0.26757,0.18325,0.07998,0.63509,0.26809,0.21309,0.07704,1.99962,1.50468,3.90016,2.27093,0.000472037,0.000472037,0.000472037
7,97.0623,1.57561,1.21192,2.03929,1.6085,0.57333,0.24737,0.19784,0.08363,0.59507,0.23247,0.22837,0.08156,1.94266,1.38563,2.60748,2.13372,0.000471245,0.000471245,0.000471245
8,110.898,1.53409,1.18336,1.96198,1.58022,0.44587,0.26409,0.21555,0.09528,0.46746,0.2869,0.26634,0.09245,1.96753,1.36734,2.42811,2.17613,0.000470452,0.000470452,0.000470452
9,125.218,1.5595,1.16574,1.89929,1.6073,0.4096,0.19622,0.1727,0.10939,0.44732,0.20053,0.16584,0.06393,1.88116,1.20445,inf,2.11872,0.00046966,0.00046966,0.00046966
10,138.816,1.5104,1.14223,1.88596,1.59845,0.56371,0.37232,0.3021,0.1538,0.63784,0.24189,0.29163,0.09937,1.94343,1.18651,2.31888,2.16811,0.000468867,0.000468867,0.000468867
