Speed: 0.1ms preprocess, 9.6ms inference, 0.0ms loss, 1.0ms postprocess per image
Results saved to BaseSeg/models/segL/second
Class,Images,Instances,Box_P,Box_R,Box_mAP50,Box_mAP50_95,Mask_P,Mask_R,Mask_mAP50,Mask_mAP50_95
all,134,815,0.556,0.41,0.414,0.207,0.579,0.436,0.446,0.19
5,130,130,0.852,0.753,0.847,0.429,0.869,0.769,0.884,0.469
6,125,125,0.641,0.648,0.668,0.271,0.725,0.738,0.789,0.337
7,77,77,0.594,0.532,0.496,0.195,0.696,0.636,0.657,0.265
8,74,74,0.796,0.739,0.765,0.32,0.855,0.796,0.803,0.296
9,50,50,0.71,0.5,0.555,0.253,0.648,0.46,0.481,0.16
10,25,25,0.576,0.52,0.541,0.352,0.441,0.4,0.417,0.173
11,21,21,0.664,0.286,0.478,0.254,0.66,0.286,0.49,0.217
12,6,6,1.0,0.0,0.0325,0.026,1.0,0.0,0.0325,0.0196
13,70,70,0.678,0.729,0.724,0.311,0.748,0.814,0.853,0.409
14,17,17,0.369,0.529,0.388,0.253,0.401,0.588,0.398,0.179
15,27,27,0.399,0.556,0.374,0.25,0.371,0.519,0.314,0.15
16,69,70,0.458,0.362,0.275,0.0982,0.643,0.514,0.455,0.141
17,20,20,0.417,0.55,0.347,0.218,0.413,0.55,0.361,0.18
18,24,24,0.756,0.0417,0.17,0.12,0.738,0.0417,0.167,0.0856
19,3,3,0.0,0.0,0.0246,0.0154,0.0,0.0,0.0363,0.00978
24,18,18,0.191,0.0556,0.152,0.0825,0.161,0.0556,0.165,0.0606
25,58,58,0.347,0.165,0.204,0.0752,0.481,0.239,0.272,0.0742
