epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2074,1.96092,2.2648,3.73082,1.93747,0.14674,0.31305,0.08248,0.03735,0.07714,0.36078,0.08003,0.02977,1.90875,1.75825,inf,2.11654,0.0001547,0.0001547,0.0001547
2,45.5828,1.62992,1.35719,2.61087,1.66248,0.19618,0.34077,0.1526,0.06696,0.17958,0.32166,0.16212,0.06262,1.84259,1.51764,6.73689,1.94555,0.000312845,0.000312845,0.000312845
3,68.5612,1.62591,1.29573,2.34457,1.64192,0.31906,0.32057,0.18155,0.08043,0.33312,0.28319,0.18594,0.07221,1.87036,1.68441,3.96261,2.00641,0.000470461,0.000470461,0.000470461
4,91.3916,1.61724,1.33619,2.26092,1.6307,0.3017,0.32889,0.2198,0.09951,0.29323,0.32581,0.23012,0.09052,1.82264,1.36324,2.7254,1.98198,0.000473622,0.000473622,0.000473622
5,114.715,1.57792,1.24866,2.17121,1.61027,0.17194,0.34137,0.17903,0.08065,0.18468,0.36296,0.19821,0.07191,1.81244,1.45112,2.5215,2.00087,0.00047283,0.00047283,0.00047283
6,137.394,1.54967,1.22736,2.06575,1.60277,0.3451,0.35028,0.2871,0.13753,0.41078,0.28897,0.27527,0.10685,1.73816,1.45188,2.07599,1.88889,0.000472037,0.000472037,0.000472037
7,160.93,1.50478,1.20026,1.98668,1.56422,0.19907,0.36159,0.24495,0.11059,0.22316,0.39006,0.27505,0.10016,1.82383,1.37119,2.37586,1.92271,0.000471245,0.000471245,0.000471245
8,184.07,1.52966,1.16278,2.01185,1.57976,0.32107,0.34312,0.25007,0.12184,0.30762,0.34074,0.25964,0.10342,1.78612,1.35955,2.20113,1.92488,0.000470452,0.000470452,0.000470452
9,207.445,1.46695,1.23437,1.9132,1.5203,0.31678,0.44819,0.30222,0.14745,0.33845,0.43687,0.33646,0.13435,1.65654,1.36811,2.06037,1.84892,0.00046966,0.00046966,0.00046966
10,230.901,1.45091,1.15139,1.84913,1.5369,0.37779,0.33671,0.2895,0.12968,0.40204,0.30689,0.3073,0.12213,1.78871,1.34935,2.03998,1.95383,0.000468867,0.000468867,0.000468867
11,254.311,1.42171,1.10251,1.83488,1.50423,0.27943,0.4132,0.30688,0.14336,0.31061,0.40239,0.32196,0.12614,1.7403,1.25331,2.03478,1.89311,0.000468075,0.000468075,0.000468075
12,277.357,1.41475,1.10401,1.81038,1.50076,0.49966,0.29731,0.31764,0.14863,0.50629,0.30109,0.32328,0.12837,1.69094,1.27363,1.96877,1.88868,0.000467282,0.000467282,0.000467282
13,300.836,1.38137,1.08384,1.70811,1.47294,0.53517,0.35355,0.34484,0.16455,0.56354,0.37613,0.36507,0.14237,1.67995,1.34713,1.86657,1.88554,0.00046649,0.00046649,0.00046649
14,324.24,1.35312,1.10958,1.74236,1.46264,0.34569,0.35758,0.27413,0.13526,0.38336,0.34942,0.30035,0.11672,1.72809,1.33474,2.01439,1.89962,0.000465697,0.000465697,0.000465697
15,347.65,1.33719,1.0631,1.66621,1.43558,0.48797,0.3071,0.27678,0.13968,0.54829,0.29606,0.32471,0.12562,1.74504,1.34831,1.97136,1.88704,0.000464904,0.000464904,0.000464904
16,370.658,1.31184,1.04482,1.61985,1.43361,0.33548,0.39243,0.31678,0.15112,0.43152,0.40483,0.34795,0.13713,1.77511,1.25066,1.97458,1.9338,0.000464112,0.000464112,0.000464112
17,394.034,1.33545,1.0254,1.57462,1.43459,0.38921,0.3795,0.34688,0.16656,0.45077,0.3757,0.36674,0.14375,1.67635,1.30148,1.82842,1.90297,0.000463319,0.000463319,0.000463319
18,417.262,1.29813,1.0562,1.53559,1.40465,0.37769,0.41681,0.35972,0.17609,0.46598,0.37627,0.37043,0.14766,1.70066,1.18612,1.84203,1.91187,0.000462527,0.000462527,0.000462527
19,440.951,1.29928,1.02254,1.51191,1.40484,0.43293,0.35558,0.33312,0.16291,0.49873,0.38406,0.38224,0.15288,1.6836,1.18479,1.88043,1.84896,0.000461734,0.000461734,0.000461734
20,463.997,1.31044,1.08293,1.52895,1.42584,0.40797,0.3916,0.35118,0.17647,0.43482,0.37915,0.38155,0.15506,1.67937,1.23617,1.82169,1.8715,0.000460942,0.000460942,0.000460942
