epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13628,2.59239,4.74206,4.857,2.45048,0.71508,0.125,0.2094,0.09868,0.71508,0.125,0.24251,0.05093,2.16794,1.51842,3.62491,2.33044,6.664e-05,6.664e-05,6.664e-05
2,10.8736,1.86875,1.50907,3.18841,1.79536,0.10596,0.06705,0.06213,0.0257,0.16389,0.21591,0.14704,0.03595,2.14207,2.29258,13.5301,2.24143,0.000141374,0.000141374,0.000141374
3,16.6298,1.75831,1.18124,2.58521,1.75053,0.03408,0.15909,0.02694,0.01079,0.0438,0.25,0.06444,0.01931,2.15244,1.45883,inf,2.36559,0.000215859,0.000215859,0.000215859
4,22.3632,1.63006,1.04409,2.43673,1.6374,0.25728,0.30523,0.07066,0.02924,0.14679,0.39773,0.09446,0.03954,2.02931,1.47889,119.487,2.25611,0.000290094,0.000290094,0.000290094
5,28.0454,1.62826,1.04743,2.29554,1.66996,0.0484,0.29545,0.07575,0.02616,0.0452,0.20455,0.07674,0.0332,2.88898,2.25793,inf,3.54509,0.000364079,0.000364079,0.000364079
6,33.8077,1.70399,1.11392,2.30106,1.72072,0.0034,0.04545,0.00164,0.00104,0.00504,0.21591,0.00278,0.00137,2.42042,2.01278,inf,2.72504,0.000437815,0.000437815,0.000437815
7,39.5265,1.61482,1.04617,2.24252,1.72771,0.00196,0.15909,0.00115,0.0006,0.00167,0.13636,0.00096,0.00051,2.53433,7.72142,inf,3.09583,0.000511301,0.000511301,0.000511301
8,45.3193,1.6014,1.11899,2.22166,1.68985,0,0,0,0,0,0,0,0,3.78291,140.176,inf,8.36735,0.000584537,0.000584537,0.000584537
9,51.0718,1.55224,1.12971,2.1878,1.59927,0.09527,0.45455,0.19856,0.03914,0.36806,0.29545,0.24407,0.08479,2.78423,2.06815,44.9383,3.39546,0.000657524,0.000657524,0.000657524
10,56.7956,1.63804,1.08171,2.01748,1.66593,0.11594,0.52273,0.14705,0.04081,0.14076,0.54545,0.21662,0.0667,2.35311,2.04147,24.955,2.8563,0.000730261,0.000730261,0.000730261
11,62.513,1.6225,1.07167,2.04588,1.68521,0.11394,0.43182,0.14227,0.03733,0.42148,0.38636,0.26031,0.08435,2.48068,1.56886,13.3153,3.27704,0.000802748,0.000802748,0.000802748
12,68.2095,1.62971,1.12151,2.08184,1.67928,0.52054,0.09091,0.09593,0.02835,0.54861,0.13636,0.13362,0.03982,2.68771,1.93315,4.22176,3.02011,0.000817744,0.000817744,0.000817744
13,73.8836,1.59154,1.07124,1.92053,1.64062,0.1639,0.25,0.16565,0.05576,0.12303,0.20455,0.1293,0.03877,2.40199,2.41598,4.76446,2.96949,0.000816357,0.000816357,0.000816357
14,79.5852,1.53953,1.00784,1.8582,1.60264,0.07279,0.06818,0.04182,0.01191,0.11892,0.2855,0.09418,0.02063,3.0728,3.06086,13.8009,3.51629,0.00081497,0.00081497,0.00081497
15,85.2893,1.54881,1.03092,1.83288,1.5975,0.3156,0.32955,0.13756,0.04846,0.44097,0.14553,0.21049,0.07087,2.44291,1.6948,4.01718,2.64321,0.000813583,0.000813583,0.000813583
16,91.0211,1.50526,1.01036,1.83547,1.59933,0.46097,0.36364,0.2183,0.07107,0.47719,0.36364,0.24887,0.09773,2.09114,1.26825,3.30677,2.3626,0.000812196,0.000812196,0.000812196
17,97.1234,1.53203,0.98517,1.78133,1.57541,0.28924,0.36002,0.34393,0.10336,0.40356,0.49468,0.43764,0.13875,2.15594,1.33237,3.20111,2.30262,0.000810809,0.000810809,0.000810809
18,103.108,1.49188,0.97531,1.66572,1.53123,0.2218,0.52273,0.2012,0.06408,0.21848,0.44318,0.24159,0.06558,2.35156,2.28368,3.66735,2.60006,0.000809422,0.000809422,0.000809422
19,108.84,1.49371,1.03885,1.65313,1.50736,0.13094,0.45955,0.20484,0.07249,0.22589,0.48103,0.32077,0.11264,2.07851,1.15835,3.63749,2.2817,0.000808035,0.000808035,0.000808035
20,114.572,1.4654,0.97724,1.64768,1.53282,0.13901,0.58417,0.28155,0.08777,0.17703,0.63636,0.33033,0.11389,2.16127,1.20477,3.50289,2.46491,0.000806648,0.000806648,0.000806648
21,120.32,1.4559,0.99049,1.59648,1.50703,0.14405,0.39773,0.27701,0.08431,0.76947,0.31818,0.51176,0.16557,2.29119,1.15882,3.19299,2.53916,0.000805261,0.000805261,0.000805261
22,126.409,1.3942,0.93212,1.57746,1.45182,0.37102,0.40909,0.33433,0.14649,0.45027,0.52273,0.51198,0.15228,2.15578,1.18544,3.35634,2.59608,0.000803874,0.000803874,0.000803874
23,132.498,1.34757,0.90371,1.55018,1.44924,0.18522,0.40139,0.25125,0.1027,0.65586,0.32443,0.34719,0.11941,1.98775,1.05703,3.11851,2.19923,0.000802487,0.000802487,0.000802487
24,138.236,1.43328,0.96392,1.63232,1.52934,0.18068,0.57955,0.25212,0.07443,0.451,0.31091,0.30185,0.11789,1.99311,1.0913,3.5853,2.21069,0.0008011,0.0008011,0.0008011
25,143.998,1.33201,0.9242,1.46136,1.43617,0.25317,0.34091,0.2913,0.10569,0.23969,0.36492,0.31748,0.1353,2.05662,1.0982,2.39366,2.2893,0.000799713,0.000799713,0.000799713
26,149.761,1.33876,0.92976,1.60261,1.47877,0.27576,0.65909,0.28439,0.11173,0.32797,0.70867,0.50408,0.18332,2.11248,0.96365,2.52977,2.36987,0.000798326,0.000798326,0.000798326
27,155.513,1.3243,0.90894,1.52612,1.47354,0.5586,0.375,0.25557,0.1011,0.47309,0.31818,0.27547,0.11211,1.92168,1.22411,3.01965,2.20416,0.000796939,0.000796939,0.000796939
28,161.289,1.30913,0.87296,1.43031,1.42414,0.12283,0.48864,0.2728,0.0644,0.31147,0.57955,0.43315,0.15232,2.22905,0.93798,3.1978,2.60968,0.000795552,0.000795552,0.000795552
29,167.069,1.31261,0.94742,1.45198,1.44804,0.21612,0.375,0.34006,0.10803,0.32753,0.72262,0.52052,0.20107,2.13497,0.94362,2.35997,2.37886,0.000794166,0.000794166,0.000794166
30,173.194,1.30193,0.93656,1.42143,1.41781,0.27794,0.45455,0.30134,0.12343,0.36189,0.50714,0.38756,0.14664,2.08402,1.07953,2.48292,2.4371,0.000792779,0.000792779,0.000792779
31,178.948,1.2922,0.8953,1.37347,1.38906,0.4418,0.57892,0.34124,0.1467,0.49424,0.50014,0.45163,0.18761,2.06871,1.03749,2.20659,2.47652,0.000791392,0.000791392,0.000791392
32,185.088,1.34994,0.90104,1.46635,1.45607,0.21535,0.29545,0.23123,0.09033,0.31822,0.36364,0.38056,0.13576,2.1032,1.06652,2.38843,2.37412,0.000790005,0.000790005,0.000790005
33,190.768,1.27371,0.8613,1.37328,1.37018,0.18957,0.31818,0.19192,0.06826,0.351,0.52273,0.4465,0.12911,2.2223,1.05059,2.39749,2.51364,0.000788618,0.000788618,0.000788618
34,196.526,1.17978,0.86992,1.28816,1.34767,0.34329,0.51136,0.38544,0.12912,0.44726,0.55682,0.50791,0.19422,2.13724,1.04912,2.11181,2.50705,0.000787231,0.000787231,0.000787231
35,202.465,1.22212,0.91459,1.28381,1.39259,0.31344,0.43182,0.30635,0.11119,0.53688,0.39345,0.43005,0.17354,2.14674,1.02302,2.29698,2.4572,0.000785844,0.000785844,0.000785844
36,208.23,1.21376,0.91115,1.30148,1.3755,0.33603,0.38636,0.33777,0.11032,0.45813,0.47235,0.46905,0.16354,2.14166,1.00324,2.21194,2.34869,0.000784457,0.000784457,0.000784457
37,214.021,1.22864,0.87918,1.31242,1.35382,0.36754,0.45983,0.35118,0.11848,0.41263,0.49525,0.4288,0.1549,1.99683,1.02438,2.27137,2.22982,0.00078307,0.00078307,0.00078307
38,219.829,1.15403,0.87827,1.25008,1.31226,0.41573,0.44251,0.43478,0.12164,0.46485,0.59137,0.5991,0.19389,1.99459,0.9393,2.33182,2.27456,0.000781683,0.000781683,0.000781683
39,225.945,1.1507,0.84614,1.22912,1.30459,0.36134,0.58106,0.39392,0.11704,0.48266,0.71488,0.58149,0.20409,2.16605,0.92031,2.21731,2.33612,0.000780296,0.000780296,0.000780296
40,231.701,1.22334,0.86614,1.2695,1.36498,0.30342,0.60699,0.36225,0.12702,0.45473,0.73741,0.54032,0.20635,2.09449,0.97152,2.29501,2.2448,0.000778909,0.000778909,0.000778909
41,237.834,1.14957,0.82511,1.19063,1.30764,0.40815,0.46591,0.38607,0.15622,0.42187,0.72323,0.54826,0.22489,1.99037,0.98941,2.21448,2.23129,0.000777522,0.000777522,0.000777522
42,243.917,1.09983,0.85798,1.14926,1.29286,0.31033,0.53396,0.40066,0.14238,0.51656,0.48864,0.53719,0.21968,2.05936,0.99608,2.0598,2.29655,0.000776135,0.000776135,0.000776135
43,249.657,1.11577,0.89919,1.19135,1.28087,0.27894,0.65909,0.42019,0.13303,0.52158,0.59671,0.59346,0.21995,1.94906,0.97089,2.24299,2.20799,0.000774748,0.000774748,0.000774748
44,255.448,1.07012,0.79085,1.13846,1.27464,0.30764,0.37292,0.31963,0.08893,0.4316,0.52656,0.51969,0.16523,2.26349,1.05619,2.51545,2.49125,0.000773361,0.000773361,0.000773361
45,261.229,1.1514,0.88214,1.13161,1.31412,0.46005,0.32921,0.38925,0.1185,0.67019,0.41437,0.50868,0.16948,1.99864,1.07264,2.25219,2.24053,0.000771974,0.000771974,0.000771974
46,266.997,1.08153,0.83575,1.12558,1.25555,0.36388,0.51515,0.3748,0.12481,0.4501,0.55622,0.45411,0.17447,2.14684,1.0438,2.15207,2.46589,0.000770587,0.000770587,0.000770587
47,272.747,1.11084,0.85081,1.13671,1.26094,0.30462,0.44318,0.37369,0.11921,0.38988,0.625,0.54302,0.18913,2.01888,0.97508,2.21383,2.28348,0.000769201,0.000769201,0.000769201
48,278.465,1.03977,0.79372,1.07674,1.23983,0.23004,0.42376,0.32795,0.12702,0.46023,0.67896,0.54702,0.22063,2.06851,0.92169,2.09278,2.3513,0.000767814,0.000767814,0.000767814
49,284.248,1.04691,0.81334,1.04236,1.22968,0.33144,0.5,0.40707,0.09752,0.56131,0.70455,0.64893,0.21695,2.20804,0.9113,2.49425,2.44593,0.000766427,0.000766427,0.000766427
50,290.017,1.03236,0.81345,1.07346,1.2249,0.34611,0.69347,0.48605,0.12368,0.45999,0.79776,0.64138,0.2107,2.1085,0.89859,2.23853,2.39968,0.00076504,0.00076504,0.00076504
51,295.801,1.04064,0.79921,1.06737,1.2377,0.34743,0.43182,0.44671,0.12674,0.57341,0.60851,0.66721,0.22306,2.2171,0.86876,2.19799,2.3903,0.000763653,0.000763653,0.000763653
52,301.572,1.03672,0.81839,1.01245,1.23628,0.19589,0.59091,0.42444,0.10375,0.32517,0.77441,0.62966,0.16801,2.24725,1.00021,2.51654,2.59326,0.000762266,0.000762266,0.000762266
53,307.351,0.99967,0.78263,0.97792,1.21221,0.31229,0.57384,0.39992,0.10285,0.47945,0.76012,0.60726,0.18177,2.42666,0.99487,2.42001,2.7635,0.000760879,0.000760879,0.000760879
54,313.052,0.97341,0.81475,0.97722,1.18987,0.34035,0.61856,0.35875,0.13345,0.46218,0.77273,0.55816,0.17345,2.22435,1.05242,2.40861,2.51129,0.000759492,0.000759492,0.000759492
55,318.843,0.97739,0.77727,0.97173,1.19432,0.50616,0.5,0.47212,0.20285,0.64376,0.55888,0.59079,0.19493,2.20965,0.95807,2.10709,2.44289,0.000758105,0.000758105,0.000758105
56,324.942,0.98324,0.76617,0.9615,1.1893,0.35521,0.69185,0.34204,0.14177,0.458,0.76435,0.50687,0.1918,2.11634,0.97586,1.98181,2.28689,0.000756718,0.000756718,0.000756718
57,330.717,0.93492,0.7689,0.92563,1.13016,0.36117,0.53048,0.37901,0.15223,0.55995,0.625,0.53116,0.18817,2.05824,0.97958,1.97124,2.28995,0.000755331,0.000755331,0.000755331
58,336.525,0.90685,0.74244,0.87285,1.12886,0.44926,0.45455,0.43184,0.1499,0.52699,0.52273,0.55243,0.20853,2.29647,1.00263,2.17807,2.44443,0.000753944,0.000753944,0.000753944
59,342.243,0.95989,0.80388,0.89293,1.16828,0.36374,0.37014,0.38851,0.13919,0.44678,0.47727,0.51459,0.18517,2.13038,0.99681,2.32114,2.23428,0.000752557,0.000752557,0.000752557
60,347.973,0.93095,0.79477,0.88661,1.14386,0.38171,0.34871,0.33079,0.10423,0.55594,0.60221,0.53078,0.18355,2.39494,0.91095,2.11962,2.71601,0.00075117,0.00075117,0.00075117
61,353.751,0.92002,0.77351,0.92182,1.15483,0.55036,0.35227,0.37418,0.12464,0.74828,0.55976,0.67074,0.23847,2.26653,0.93645,2.32,2.44658,0.000749783,0.000749783,0.000749783
62,359.481,0.92712,0.77193,0.93836,1.15548,0.18583,0.4468,0.23548,0.08484,0.47385,0.63636,0.55273,0.16239,2.36084,0.9397,2.59925,2.52357,0.000748396,0.000748396,0.000748396
63,365.341,0.89749,0.75312,0.85075,1.11811,0.58277,0.62854,0.51237,0.18128,0.66559,0.70455,0.64041,0.21761,2.3074,0.86314,2.05139,2.529,0.000747009,0.000747009,0.000747009
64,371.261,0.91601,0.7702,0.86506,1.14957,0.41757,0.58757,0.43955,0.1569,0.54973,0.65909,0.61524,0.22425,2.11432,0.93682,2.27885,2.24264,0.000745622,0.000745622,0.000745622
65,377.097,0.92616,0.74054,0.84719,1.13229,0.42699,0.4902,0.47393,0.20003,0.4893,0.55682,0.56617,0.22634,2.07622,0.89361,2.14244,2.34841,0.000744236,0.000744236,0.000744236
66,383.298,0.87546,0.81159,0.79903,1.09748,0.40511,0.68182,0.4628,0.18803,0.476,0.77934,0.58955,0.22814,2.15676,0.86285,2.20512,2.35411,0.000742849,0.000742849,0.000742849
67,389.107,0.87853,0.76596,0.81757,1.10806,0.33878,0.56818,0.41173,0.13248,0.44091,0.70215,0.55556,0.16779,2.48427,0.96364,2.35865,2.77986,0.000741462,0.000741462,0.000741462
