epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2132,2.09856,2.648,3.65626,2.00831,0.24493,0.34361,0.13806,0.04944,0.2623,0.37498,0.19886,0.07121,2.05147,1.5717,7.37542,2.26783,0.00019159,0.00019159,0.00019159
2,27.7358,1.62379,1.13377,2.41486,1.62379,0.00238,0.07822,0.00135,0.00062,0.00272,0.0727,0.00155,0.00066,nan,nan,nan,nan,0.000390858,0.000390858,0.000390858
3,42.3295,1.58769,1.13712,2.2833,1.60431,0.02573,0.01326,0.00559,0.00105,0.0156,0.00597,0.00303,0.00049,3.03614,6.8064,inf,4.24577,0.000589461,0.000589461,0.000589461
4,55.9614,1.59724,1.22257,2.09785,1.6277,0.00336,0.02189,0.00189,0.00061,0.00071,0.00606,0.00027,8e-05,3.50291,78.5237,inf,5.61917,0.000787397,0.000787397,0.000787397
5,69.9739,1.57626,1.16312,1.98435,1.59446,0.21387,0.30329,0.11058,0.04453,0.22533,0.25488,0.12903,0.03858,2.18241,2.00338,10.8368,2.83845,0.000827452,0.000827452,0.000827452
6,83.6466,1.57826,1.11032,1.9256,1.583,0.18176,0.46019,0.20152,0.08245,0.18428,0.41547,0.23258,0.08324,1.78203,1.56431,3.91313,2.08267,0.000826065,0.000826065,0.000826065
7,98.0075,1.53006,1.06131,1.84951,1.57094,0.09992,0.14248,0.07375,0.0271,0.11449,0.1257,0.0887,0.03204,2.5963,2.16243,3.15308,2.57776,0.000824678,0.000824678,0.000824678
8,111.79,1.52434,1.07228,1.8168,1.53848,0.27229,0.41207,0.28017,0.11191,0.32305,0.43007,0.32803,0.12454,1.99147,1.47615,2.60746,2.1158,0.000823291,0.000823291,0.000823291
9,126.249,1.52282,1.0465,1.80846,1.57285,0.36251,0.29274,0.2333,0.09216,0.39756,0.29856,0.27428,0.11193,2.01355,1.22554,2.67197,2.19267,0.000821904,0.000821904,0.000821904
10,140.229,1.50529,1.04614,1.80061,1.5624,0.35446,0.39938,0.29861,0.12675,0.40384,0.45181,0.36438,0.14075,1.85028,1.14741,2.24303,2.1117,0.000820517,0.000820517,0.000820517
