
Model,Threshold,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
attentionunet, thresh_25, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,497.38604668812815,6.701702541775173e-06
attentionunet, thresh_25, 0.4217, 0.5618, 0.6334, 0.5918, 0.9912, 0.5901, 3.4770,497.38604668812815,6.701702541775173e-06
attentionunet, thresh_50, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,615.1909168379073,5.41837215423584e-06
attentionunet, thresh_50, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,615.1909168379073,5.41837215423584e-06
attentionunet, thresh_75, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,611.9566554824804,5.4470088746812605e-06
attentionunet, thresh_75, 0.4220, 0.5615, 0.6323, 0.5922, 0.9913, 0.5894, 3.4830,611.9566554824804,5.4470088746812605e-06
attentionunet, thresh_100, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,601.562457421099,5.541125933329265e-06
attentionunet, thresh_100, 0.4220, 0.5612, 0.6317, 0.5960, 0.9913, 0.5890, 3.4845,601.562457421099,5.541125933329265e-06
attentionunet, thresh_125, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,582.8997880644376,5.71853584713406e-06
attentionunet, thresh_125, 0.4219, 0.5607, 0.6306, 0.5963, 0.9913, 0.5882, 3.4895,582.8997880644376,5.71853584713406e-06
attentionunet, thresh_150, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,575.3708637070732,5.7933648427327475e-06
attentionunet, thresh_150, 0.4211, 0.5594, 0.6294, 0.5959, 0.9913, 0.5870, 3.4971,575.3708637070732,5.7933648427327475e-06
