epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0956,3.95306,12.2163,9.059,3.59646,0.00085,0.12562,0.00056,0.00013,8e-05,0.01232,4e-05,1e-05,4.61316,4.91966,3.23646,5.3186,0.0669664,3.30667e-05,3.30667e-05
2,55.8255,3.43962,3.78465,3.71771,2.86319,0.0104,0.02463,0.002,0.00057,0,0,0,0,3.91885,16.2115,9.99181,3.90778,0.0336663,6.62685e-05,6.62685e-05
3,83.4301,3.33311,3.35308,3.48772,2.67634,0.0086,0.02709,0.00184,0.00038,0,0,0,0,4.28203,18.6271,475.018,3.89759,0.000366005,9.93384e-05,9.93384e-05
4,110.533,3.22581,3.1672,3.40036,2.61851,0.0066,0.10099,0.00433,0.00149,0.00595,0.09113,0.00379,0.00115,3.99241,4.44763,4.99855,3.30788,9.9406e-05,9.9406e-05,9.9406e-05
5,138.113,3.14774,3.06187,3.37014,2.53116,0.0022,0.32512,0.0021,0.00055,0.00127,0.18719,0.00097,0.00018,3.61539,4.00711,4.67811,3.013,9.9208e-05,9.9208e-05,9.9208e-05
6,165.529,3.09171,3.03275,3.27884,2.49747,0.00292,0.43103,0.00274,0.00073,0.00153,0.2266,0.0012,0.00028,3.62162,4.03784,3.65938,2.91376,9.901e-05,9.901e-05,9.901e-05
7,192.864,3.04879,2.97779,3.23603,2.47486,0.00327,0.48276,0.0027,0.00079,0.0025,0.36946,0.0018,0.00046,3.52984,3.74864,9.06247,2.92017,9.8812e-05,9.8812e-05,9.8812e-05
8,219.936,2.95184,2.86313,3.22137,2.43733,0.01149,0.07143,0.00698,0.00269,0.0107,0.0665,0.00772,0.0026,3.68503,4.0954,5.1652,3.11843,9.8614e-05,9.8614e-05,9.8614e-05
9,247.652,2.92668,2.78133,3.17771,2.41465,0.00212,0.31281,0.00197,0.00056,0.00013,0.0197,7e-05,1e-05,3.79892,6.52895,6.51042,3.57569,9.8416e-05,9.8416e-05,9.8416e-05
10,274.836,2.85817,2.67437,3.19872,2.39832,0.00669,0.32512,0.00837,0.00266,0.00492,0.23892,0.00589,0.00123,3.49255,3.74751,3.52589,3.16525,9.8218e-05,9.8218e-05,9.8218e-05
11,301.999,2.81675,2.64452,3.1457,2.34564,0.0043,0.46059,0.00971,0.00297,0.00419,0.44828,0.01076,0.00233,3.35053,3.19408,3.51035,2.83867,9.802e-05,9.802e-05,9.802e-05
12,329.446,2.86698,2.71371,3.1386,2.37497,0.00521,0.5936,0.01386,0.00394,0.00439,0.5,0.01301,0.00288,3.14017,3.53117,3.31865,2.64694,9.7822e-05,9.7822e-05,9.7822e-05
13,357.01,2.79827,2.65495,3.09382,2.3266,0.00172,0.25369,0.00165,0.00046,0.00185,0.2734,0.00179,0.00044,3.79507,3.25588,4.97657,3.61479,9.7624e-05,9.7624e-05,9.7624e-05
14,384.292,2.74113,2.64708,3.095,2.3057,0.00894,0.29557,0.01471,0.00307,0.00768,0.25369,0.00961,0.00195,3.72901,3.34754,3.68417,3.36986,9.7426e-05,9.7426e-05,9.7426e-05
15,411.66,2.75009,2.55983,3.04885,2.26951,0.02619,0.10345,0.01137,0.00334,0.02744,0.10837,0.01044,0.00226,3.29603,3.3053,4.31286,3.03564,9.7228e-05,9.7228e-05,9.7228e-05
16,438.949,2.67342,2.56135,2.99883,2.23664,0.05198,0.09852,0.02283,0.00653,0.04259,0.10848,0.01979,0.00445,2.7836,2.8175,5.09747,2.50754,9.703e-05,9.703e-05,9.703e-05
17,466.444,2.69859,2.45447,3.02538,2.23766,0.00306,0.42365,0.01097,0.0034,0.02169,0.08867,0.00983,0.00345,3.61131,3.36054,3.50624,2.99382,9.6832e-05,9.6832e-05,9.6832e-05
18,493.52,2.6535,2.51805,3.0012,2.25702,0.00602,0.6798,0.04323,0.01135,0.0056,0.633,0.03495,0.00899,3.09502,2.99856,3.11178,2.61565,9.6634e-05,9.6634e-05,9.6634e-05
19,520.935,2.60387,2.4217,2.96453,2.20118,0.01408,0.2931,0.01862,0.00721,0.01384,0.28818,0.01941,0.00738,3.35303,3.25599,4.01529,2.89227,9.6436e-05,9.6436e-05,9.6436e-05
20,547.992,2.60967,2.42378,2.92339,2.20157,0.01109,0.46305,0.03709,0.01057,0.0102,0.42611,0.033,0.009,2.99272,2.91107,3.78809,2.56245,9.6238e-05,9.6238e-05,9.6238e-05
21,575.087,2.6199,2.46365,2.97161,2.22559,0.00558,0.78571,0.0262,0.00837,0.00465,0.65517,0.02298,0.00558,2.6546,3.15699,2.9981,2.38383,9.604e-05,9.604e-05,9.604e-05
22,602.292,2.5666,2.32749,2.92817,2.19307,0.04219,0.24138,0.03614,0.01194,0.04392,0.25123,0.03901,0.00908,2.82764,2.8969,3.59197,2.52618,9.5842e-05,9.5842e-05,9.5842e-05
23,629.995,2.50696,2.3927,2.90738,2.14591,0.03681,0.14778,0.01747,0.0053,0.03129,0.12562,0.01192,0.00281,2.84715,3.2952,10.5627,2.54236,9.5644e-05,9.5644e-05,9.5644e-05
24,657.144,2.53495,2.45885,2.87946,2.16359,0.15395,0.07882,0.04389,0.01526,0.1299,0.0665,0.03744,0.01062,2.88162,3.13899,3.18965,2.6227,9.5446e-05,9.5446e-05,9.5446e-05
