epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9008,3.13749,4.28224,5.01632,2.70317,0.0004,0.05911,0.00022,5e-05,0.0002,0.02956,0.00011,2e-05,3.43521,3.9992,4.70685,3.02022,0.0669664,3.30667e-05,3.30667e-05
2,55.4993,3.11191,3.86236,4.5547,2.64701,0.0008,0.11823,0.00057,0.00014,0.00065,0.09606,0.00036,8e-05,3.34762,3.51163,4.21128,2.94237,0.0336663,6.62685e-05,6.62685e-05
3,83.0522,2.97467,3.44927,4.19663,2.57302,0.00242,0.35714,0.00332,0.00076,0.0022,0.32512,0.00273,0.00055,3.18214,3.24884,3.90251,2.85333,0.000366005,9.93384e-05,9.93384e-05
4,110.606,2.84594,3.14625,3.96486,2.47119,0.02637,0.07389,0.00877,0.0023,0.02295,0.09113,0.00845,0.00179,3.06127,3.00447,3.71221,2.72019,9.9406e-05,9.9406e-05,9.9406e-05
5,138.127,2.76816,2.94205,3.77842,2.40821,0.01175,0.35714,0.01128,0.00314,0.01447,0.28571,0.01144,0.00242,3.00566,2.84805,3.57315,2.67508,9.9208e-05,9.9208e-05,9.9208e-05
6,165.913,2.71129,2.7725,3.6143,2.35236,0.00445,0.65764,0.01361,0.00384,0.0096,0.48522,0.01692,0.00367,2.91564,2.70988,3.44162,2.56947,9.901e-05,9.901e-05,9.901e-05
7,193.476,2.64433,2.63807,3.49542,2.25812,0.00626,0.63054,0.01591,0.00432,0.03057,0.22906,0.01789,0.00404,2.84078,2.56516,3.33413,2.50974,9.8812e-05,9.8812e-05,9.8812e-05
8,221.083,2.54533,2.52226,3.46883,2.21377,0.00508,0.75123,0.0183,0.00551,0.00508,0.73153,0.02214,0.00491,2.72104,2.48956,3.26545,2.39724,9.8614e-05,9.8614e-05,9.8614e-05
9,248.747,2.48794,2.43094,3.37131,2.14789,0.04149,0.23892,0.0249,0.00729,0.0614,0.0936,0.03013,0.0069,2.66116,2.39112,3.16591,2.35363,9.8416e-05,9.8416e-05,9.8416e-05
10,276.357,2.40687,2.30522,3.31499,2.06694,0.03825,0.25862,0.02607,0.00776,0.05332,0.22906,0.036,0.00781,2.65066,2.37078,3.14086,2.335,9.8218e-05,9.8218e-05,9.8218e-05
11,304.045,2.40662,2.30831,3.27448,2.06056,0.06361,0.02217,0.0274,0.00857,0.0904,0.02709,0.03352,0.00836,2.55655,2.32666,3.10619,2.2582,9.802e-05,9.802e-05,9.802e-05
12,331.618,2.3428,2.26023,3.22432,2.00051,0.04574,0.25369,0.03556,0.01027,0.09707,0.08867,0.04353,0.01036,2.51532,2.2786,3.0768,2.20086,9.7822e-05,9.7822e-05,9.7822e-05
13,359.23,2.28797,2.18125,3.16477,1.95633,0.04215,0.27586,0.03272,0.01032,0.0611,0.25862,0.04409,0.01052,2.45,2.2042,3.05518,2.14903,9.7624e-05,9.7624e-05,9.7624e-05
14,386.631,2.26368,2.21549,3.14823,1.914,0.04121,0.39163,0.03935,0.01212,0.12674,0.05665,0.04778,0.01201,2.43447,2.17548,3.01343,2.11752,9.7426e-05,9.7426e-05,9.7426e-05
15,414.292,2.25893,2.12712,3.07327,1.90179,0.10396,0.0468,0.04398,0.0142,0.15041,0.0665,0.0567,0.01526,2.36512,2.14904,2.98499,2.05968,9.7228e-05,9.7228e-05,9.7228e-05
16,441.9,2.20953,2.0765,3.01182,1.85575,0.08689,0.08621,0.04036,0.01327,0.10908,0.0665,0.05017,0.01313,2.35825,2.09705,2.94034,2.04309,9.703e-05,9.703e-05,9.703e-05
17,469.34,2.21018,2.05015,3.01035,1.84691,0.13507,0.07143,0.04727,0.01519,0.16337,0.07389,0.06612,0.01641,2.31242,2.05095,2.91976,2.00243,9.6832e-05,9.6832e-05,9.6832e-05
18,496.93,2.16757,2.04788,2.9837,1.83395,0.0908,0.12808,0.04835,0.01682,0.17073,0.1133,0.06382,0.01744,2.27487,2.04027,2.88235,1.96548,9.6634e-05,9.6634e-05,9.6634e-05
19,524.491,2.12871,1.9739,2.93788,1.79475,0.09784,0.06158,0.04135,0.01424,0.14194,0.08128,0.05836,0.01514,2.27631,2.03403,2.91927,1.97865,9.6436e-05,9.6436e-05,9.6436e-05
20,551.965,2.11981,1.99247,2.93192,1.79295,0.11346,0.08621,0.05389,0.02019,0.15526,0.10837,0.07282,0.01989,2.25953,2.00828,2.84867,1.94102,9.6238e-05,9.6238e-05,9.6238e-05
21,579.544,2.09221,1.99532,2.92692,1.76218,0.13573,0.09852,0.06445,0.02211,0.15949,0.10837,0.08015,0.02177,2.23282,1.96403,2.81262,1.91149,9.604e-05,9.604e-05,9.604e-05
22,607.214,2.02983,1.91308,2.87289,1.72222,0.13863,0.0936,0.06453,0.02282,0.18487,0.11823,0.08256,0.02311,2.20163,1.93725,2.78951,1.88439,9.5842e-05,9.5842e-05,9.5842e-05
