epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7338,2.49226,2.52989,3.22366,2.04357,0.09497,0.09852,0.04355,0.01542,0.06808,0.05665,0.01525,0.00361,2.37771,4.34822,2.95839,2.01619,0.0669664,3.30667e-05,3.30667e-05
2,56.5792,2.17341,1.99557,2.68401,1.74745,0.16596,0.20443,0.12343,0.04667,0.18995,0.23399,0.12502,0.03503,2.05188,2.30582,2.5636,1.73755,0.0336663,6.62685e-05,6.62685e-05
3,84.3664,1.98971,1.81502,2.41888,1.64373,0.25707,0.26108,0.19036,0.0732,0.30581,0.29803,0.22288,0.06354,2.04541,2.05264,2.34926,1.71527,0.000366005,9.93384e-05,9.93384e-05
4,112.139,1.95418,1.75565,2.37949,1.62394,0.25153,0.25123,0.17451,0.072,0.27903,0.26601,0.20903,0.07389,1.93957,1.79564,2.29714,1.69256,9.9406e-05,9.9406e-05,9.9406e-05
5,139.907,1.85438,1.71905,2.25037,1.56179,0.30659,0.33498,0.24685,0.09489,0.33683,0.36453,0.28102,0.09439,1.94927,1.72008,2.1414,1.69889,9.9208e-05,9.9208e-05,9.9208e-05
6,167.812,1.78841,1.68045,2.16963,1.51768,0.31226,0.29803,0.23519,0.0963,0.33836,0.33744,0.279,0.09593,1.88383,1.69855,2.13787,1.63977,9.901e-05,9.901e-05,9.901e-05
7,195.724,1.76916,1.64857,2.10243,1.49046,0.29763,0.34729,0.25386,0.10103,0.3966,0.3399,0.31481,0.10373,1.89146,1.64858,2.09003,1.62816,9.8812e-05,9.8812e-05,9.8812e-05
8,223.553,1.72787,1.56009,2.04166,1.47768,0.2708,0.32759,0.21923,0.08562,0.31913,0.34483,0.26501,0.09013,1.92297,1.65,2.15396,1.67822,9.8614e-05,9.8614e-05,9.8614e-05
9,251.08,1.70494,1.55273,1.99287,1.48045,0.30073,0.35468,0.24159,0.09351,0.33917,0.39163,0.30232,0.10364,1.80796,1.58426,2.07873,1.58779,9.8416e-05,9.8416e-05,9.8416e-05
10,278.66,1.65619,1.50942,1.95695,1.44187,0.3333,0.33498,0.26479,0.11043,0.36446,0.37685,0.30112,0.11013,1.86618,1.60119,2.04012,1.62035,9.8218e-05,9.8218e-05,9.8218e-05
11,306.577,1.65267,1.51475,1.89583,1.42004,0.31379,0.37685,0.26243,0.10475,0.34094,0.4064,0.31583,0.11008,1.86358,1.60992,2.09279,1.58595,9.802e-05,9.802e-05,9.802e-05
12,334.494,1.63276,1.49433,1.89432,1.38492,0.30614,0.35222,0.25927,0.10755,0.37865,0.35961,0.32098,0.10365,1.89178,1.73515,2.06921,1.62637,9.7822e-05,9.7822e-05,9.7822e-05
13,362.083,1.59016,1.48544,1.85013,1.40943,0.33644,0.37438,0.30397,0.11858,0.39225,0.42611,0.36359,0.12355,1.8492,1.6172,2.01174,1.66228,9.7624e-05,9.7624e-05,9.7624e-05
14,389.915,1.59874,1.47419,1.80041,1.40363,0.38138,0.37931,0.31055,0.11744,0.40373,0.42365,0.35066,0.12015,1.90459,1.56324,1.98124,1.66972,9.7426e-05,9.7426e-05,9.7426e-05
15,417.432,1.566,1.42283,1.72614,1.37576,0.38678,0.40148,0.34922,0.13726,0.46196,0.43596,0.40439,0.14448,1.93521,1.57428,1.89559,1.69326,9.7228e-05,9.7228e-05,9.7228e-05
16,445.371,1.52873,1.38249,1.68733,1.35781,0.35424,0.36453,0.30597,0.11781,0.40211,0.41379,0.36556,0.12845,1.91046,1.55174,1.97104,1.68967,9.703e-05,9.703e-05,9.703e-05
17,472.872,1.54426,1.40721,1.66678,1.34091,0.37429,0.35961,0.32822,0.13337,0.40099,0.4335,0.38428,0.13814,1.86892,1.54953,1.93187,1.63289,9.6832e-05,9.6832e-05,9.6832e-05
18,500.469,1.53443,1.4131,1.66452,1.35086,0.33299,0.42857,0.30309,0.1208,0.37393,0.44722,0.36367,0.13204,1.91497,1.57393,1.92535,1.65477,9.6634e-05,9.6634e-05,9.6634e-05
19,528.055,1.48723,1.37655,1.61203,1.32076,0.37266,0.38916,0.30423,0.11618,0.42856,0.42855,0.36093,0.12607,1.98435,1.54834,2.06646,1.72606,9.6436e-05,9.6436e-05,9.6436e-05
20,555.57,1.45775,1.35572,1.54799,1.30799,0.40747,0.43596,0.33692,0.13735,0.45984,0.49261,0.40226,0.13867,1.96769,1.55742,1.89371,1.70349,9.6238e-05,9.6238e-05,9.6238e-05
21,583.079,1.46905,1.33758,1.54939,1.31094,0.42154,0.40205,0.3319,0.13456,0.47569,0.43842,0.38802,0.14715,1.98037,1.62456,1.93266,1.70646,9.604e-05,9.604e-05,9.604e-05
22,610.652,1.47173,1.34893,1.50573,1.31345,0.39747,0.41133,0.32303,0.11939,0.43222,0.44062,0.37656,0.13588,1.99056,1.57028,1.91619,1.72493,9.5842e-05,9.5842e-05,9.5842e-05
23,638.488,1.38595,1.31669,1.44722,1.2562,0.40688,0.40394,0.32071,0.12484,0.4332,0.43103,0.36499,0.13109,1.93624,1.70971,1.96521,1.69147,9.5644e-05,9.5644e-05,9.5644e-05
24,666.135,1.44088,1.28897,1.45102,1.28541,0.38839,0.39409,0.32223,0.12183,0.43949,0.39409,0.37853,0.12938,1.99213,1.6042,1.96716,1.74498,9.5446e-05,9.5446e-05,9.5446e-05
25,693.763,1.39445,1.2791,1.39373,1.26333,0.34614,0.39163,0.29341,0.11471,0.40569,0.43546,0.34894,0.11829,2.00992,1.57663,2.02316,1.76162,9.5248e-05,9.5248e-05,9.5248e-05
26,721.298,1.40275,1.26399,1.3629,1.25662,0.3496,0.41043,0.30321,0.11884,0.41359,0.44581,0.36705,0.12359,1.97363,1.56873,1.94752,1.69105,9.505e-05,9.505e-05,9.505e-05
27,748.824,1.35756,1.27442,1.31879,1.2502,0.39772,0.40174,0.32252,0.12008,0.43928,0.44581,0.38563,0.13381,2.01213,1.60293,2.01861,1.75995,9.4852e-05,9.4852e-05,9.4852e-05
28,776.427,1.37331,1.26218,1.31685,1.25167,0.36424,0.36407,0.2914,0.11313,0.43204,0.44405,0.36645,0.12599,2.08505,1.58575,2.01975,1.7959,9.4654e-05,9.4654e-05,9.4654e-05
29,803.98,1.31707,1.24225,1.28831,1.23439,0.3668,0.40394,0.32267,0.12307,0.42481,0.42611,0.36809,0.12313,1.98889,1.62427,1.95264,1.73863,9.4456e-05,9.4456e-05,9.4456e-05
30,831.496,1.2944,1.21353,1.22452,1.20417,0.37702,0.38916,0.31018,0.1187,0.44231,0.42195,0.38374,0.13219,2.03615,1.62697,1.99991,1.79738,9.4258e-05,9.4258e-05,9.4258e-05
31,859.006,1.29719,1.22006,1.27717,1.20541,0.42721,0.35222,0.33838,0.13257,0.45933,0.39163,0.39793,0.14158,2.0578,1.60018,1.92483,1.82038,9.406e-05,9.406e-05,9.406e-05
32,886.577,1.27266,1.23738,1.19932,1.19359,0.41085,0.36453,0.30916,0.11255,0.46788,0.367,0.36706,0.12076,2.12688,1.58873,2.08268,1.86781,9.3862e-05,9.3862e-05,9.3862e-05
33,914.067,1.27357,1.20949,1.17199,1.19363,0.41566,0.35742,0.34595,0.13648,0.46202,0.41872,0.39684,0.13897,2.04252,1.62329,1.96694,1.78975,9.3664e-05,9.3664e-05,9.3664e-05
34,941.81,1.24641,1.18128,1.16811,1.18176,0.37307,0.40887,0.30362,0.1167,0.41353,0.4532,0.35496,0.12451,2.04946,1.57419,2.01255,1.79444,9.3466e-05,9.3466e-05,9.3466e-05
35,969.354,1.2089,1.20192,1.12388,1.1598,0.3501,0.33744,0.29614,0.11711,0.4654,0.34729,0.37375,0.12539,2.09241,1.62725,2.06174,1.80594,9.3268e-05,9.3268e-05,9.3268e-05
36,996.91,1.21586,1.18472,1.07604,1.14969,0.37175,0.38476,0.31945,0.12115,0.44207,0.45074,0.38539,0.13134,2.06388,1.57975,2.01982,1.83642,9.307e-05,9.307e-05,9.307e-05
37,1024.43,1.22446,1.19005,1.09188,1.16512,0.40795,0.3867,0.31427,0.12615,0.46528,0.42857,0.37833,0.13477,2.08082,1.6267,1.97336,1.81857,9.2872e-05,9.2872e-05,9.2872e-05
38,1051.94,1.22022,1.14515,1.05179,1.15645,0.40668,0.39901,0.33361,0.13176,0.47731,0.41836,0.39253,0.13818,2.02661,1.66091,1.95847,1.80482,9.2674e-05,9.2674e-05,9.2674e-05
39,1079.42,1.20647,1.21531,1.07763,1.16133,0.3959,0.37287,0.31971,0.12165,0.53624,0.38733,0.40041,0.13564,2.11319,1.628,2.03087,1.87294,9.2476e-05,9.2476e-05,9.2476e-05
40,1106.99,1.16425,1.13204,0.98596,1.13483,0.41442,0.36946,0.33359,0.12673,0.47262,0.42611,0.38539,0.1391,2.15226,1.62924,2.03149,1.91167,9.2278e-05,9.2278e-05,9.2278e-05
41,1134.6,1.19399,1.13911,1.01185,1.12478,0.36281,0.40887,0.30493,0.11852,0.43832,0.45074,0.38292,0.13518,2.10403,1.58678,2.11963,1.85425,9.208e-05,9.208e-05,9.208e-05
42,1162.19,1.16237,1.14882,0.97673,1.13076,0.37729,0.35468,0.28686,0.11538,0.45161,0.4064,0.3611,0.12154,2.16155,1.62514,2.09102,1.91638,9.1882e-05,9.1882e-05,9.1882e-05
43,1189.8,1.14076,1.117,0.95195,1.11308,0.39202,0.40148,0.29538,0.1199,0.43772,0.44828,0.36874,0.12591,2.13552,1.6398,2.13813,1.88503,9.1684e-05,9.1684e-05,9.1684e-05
44,1217.32,1.13661,1.1425,0.96899,1.11243,0.36805,0.35961,0.28983,0.11487,0.47331,0.37438,0.35755,0.12372,2.17191,1.64076,2.22256,1.94078,9.1486e-05,9.1486e-05,9.1486e-05
45,1245.03,1.13255,1.16145,0.94204,1.11013,0.36044,0.37895,0.29168,0.11615,0.43118,0.41626,0.38047,0.13147,2.11533,1.63028,2.15001,1.84237,9.1288e-05,9.1288e-05,9.1288e-05
46,1272.63,1.1503,1.12097,0.93882,1.11043,0.38442,0.36453,0.30268,0.11885,0.46897,0.42118,0.38577,0.13238,2.12459,1.60389,2.09043,1.88282,9.109e-05,9.109e-05,9.109e-05
47,1300.21,1.08143,1.10552,0.87934,1.08415,0.40459,0.36453,0.31315,0.13205,0.47246,0.41872,0.39157,0.14224,2.1455,1.61605,2.19214,1.90883,9.0892e-05,9.0892e-05,9.0892e-05
48,1327.8,1.10127,1.10016,0.87648,1.09488,0.38544,0.3867,0.30893,0.11923,0.43945,0.44089,0.37468,0.13048,2.15558,1.61948,2.09167,1.96005,9.0694e-05,9.0694e-05,9.0694e-05
49,1355.35,1.09198,1.11767,0.84907,1.08721,0.41945,0.367,0.30865,0.11822,0.46372,0.43596,0.37802,0.13364,2.16749,1.65886,2.11528,1.94404,9.0496e-05,9.0496e-05,9.0496e-05
50,1382.79,1.05236,1.08212,0.86787,1.07964,0.35727,0.38177,0.29389,0.11106,0.43739,0.42365,0.34616,0.11853,2.21556,1.7221,2.13665,1.97636,9.0298e-05,9.0298e-05,9.0298e-05
51,1410.29,1.06378,1.0894,0.85618,1.07397,0.41473,0.37438,0.30836,0.12758,0.46384,0.41872,0.35756,0.13471,2.11687,1.6015,2.25532,1.91198,9.01e-05,9.01e-05,9.01e-05
52,1437.89,1.059,1.07512,0.827,1.0775,0.4292,0.33251,0.30192,0.11927,0.49613,0.37348,0.37077,0.1275,2.14204,1.62538,2.16303,1.93985,8.9902e-05,8.9902e-05,8.9902e-05
53,1465.42,1.04259,1.04483,0.80251,1.07391,0.39131,0.35961,0.3178,0.12986,0.45472,0.41872,0.37933,0.13508,2.15686,1.64598,2.18841,1.9616,8.9704e-05,8.9704e-05,8.9704e-05
54,1492.88,1.03307,1.06667,0.79134,1.05551,0.44877,0.3202,0.30154,0.11655,0.45954,0.42611,0.37309,0.12875,2.20553,1.65418,2.21302,2.00513,8.9506e-05,8.9506e-05,8.9506e-05
55,1520.36,1.04643,1.07205,0.8352,1.05633,0.36107,0.37931,0.28853,0.10098,0.47205,0.39409,0.36921,0.11212,2.27987,1.68663,2.16902,2.03998,8.9308e-05,8.9308e-05,8.9308e-05
56,1548.12,1.04147,1.07708,0.7957,1.06206,0.3522,0.35222,0.31031,0.11912,0.41818,0.39655,0.3652,0.12901,2.23745,1.69762,2.27212,2.05124,8.911e-05,8.911e-05,8.911e-05
57,1575.57,1.02969,1.04082,0.7842,1.06346,0.33989,0.3867,0.28717,0.10635,0.40547,0.42857,0.35326,0.11785,2.248,1.75558,2.20763,2.06617,8.8912e-05,8.8912e-05,8.8912e-05
58,1603.07,1.02751,1.0688,0.79454,1.05388,0.35246,0.34589,0.26256,0.10562,0.43781,0.39655,0.33375,0.11571,2.21584,1.67163,2.35863,2.01862,8.8714e-05,8.8714e-05,8.8714e-05
59,1630.65,0.9968,1.0708,0.76314,1.04042,0.41399,0.34279,0.29671,0.11128,0.48296,0.40032,0.35501,0.12341,2.22916,1.66346,2.3766,2.03989,8.8516e-05,8.8516e-05,8.8516e-05
60,1658.16,0.98767,1.03461,0.73254,1.03884,0.38406,0.35222,0.30281,0.11364,0.42752,0.39655,0.36939,0.12317,2.28824,1.70572,2.25615,2.11903,8.8318e-05,8.8318e-05,8.8318e-05
61,1685.57,0.98183,1.04146,0.72331,1.03217,0.4009,0.32759,0.28115,0.11018,0.47606,0.37374,0.35123,0.11605,2.24,1.71126,2.36104,2.04753,8.812e-05,8.812e-05,8.812e-05
62,1713.05,0.99941,1.01213,0.76439,1.03674,0.40015,0.34975,0.29671,0.12242,0.47851,0.38873,0.37194,0.12805,2.19415,1.7467,2.17197,2.05207,8.7922e-05,8.7922e-05,8.7922e-05
63,1740.55,0.97295,1.03586,0.71939,1.02805,0.40858,0.35714,0.29779,0.11554,0.46556,0.40887,0.36998,0.12421,2.24625,1.73143,2.29859,2.03884,8.7724e-05,8.7724e-05,8.7724e-05
64,1768.14,0.95368,1.04121,0.72144,1.02373,0.4647,0.32512,0.29449,0.11437,0.5061,0.36207,0.36111,0.122,2.20659,1.68628,2.3678,2.04177,8.7526e-05,8.7526e-05,8.7526e-05
65,1795.63,0.96918,1.04253,0.7282,1.02959,0.35666,0.38177,0.29089,0.1098,0.43087,0.42365,0.35547,0.12029,2.18187,1.72418,2.39054,2.00568,8.7328e-05,8.7328e-05,8.7328e-05
