epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6427,2.72729,2.79636,3.66956,2.24613,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.000661333,0.000661333,0.000661333
2,75.096,2.73087,2.77299,3.26229,2.20891,0.03136,0.06158,0.00638,0.00221,0.03853,0.03448,0.00718,0.00161,3.1488,3.68392,6.91037,2.85776,0.00132537,0.00132537,0.00132537
3,113.478,2.64358,2.61843,3.17025,2.11313,0.04517,0.05419,0.01275,0.00376,0.04699,0.06897,0.01255,0.00276,2.8094,3.4593,4.6326,2.45344,0.00198677,0.00198677,0.00198677
4,152.343,2.56005,2.51463,3.10927,2.11455,0.04981,0.12562,0.02237,0.00687,0.04664,0.12315,0.02156,0.00498,2.63341,2.90839,3.72852,2.41053,0.00198812,0.00198812,0.00198812
5,191.625,2.51932,2.4398,3.0418,2.08731,0.14741,0.07389,0.0565,0.01701,0.16782,0.09113,0.05955,0.01519,2.4681,2.48229,3.01208,2.13856,0.00198416,0.00198416,0.00198416
6,231.177,2.42684,2.41332,2.93564,2.00237,0.14346,0.08867,0.05397,0.01737,0.14407,0.08582,0.05442,0.01413,2.43379,2.61528,2.92044,2.13055,0.0019802,0.0019802,0.0019802
7,270.27,2.39688,2.33189,2.85584,1.99884,0.16837,0.08128,0.06387,0.01971,0.17574,0.08867,0.06302,0.01797,2.3567,2.57377,3.22016,2.14991,0.00197624,0.00197624,0.00197624
8,309.649,2.36563,2.26088,2.82929,2.00008,0.15924,0.17241,0.08183,0.03028,0.16379,0.17734,0.08951,0.02825,2.38428,2.31597,2.75273,2.09665,0.00197228,0.00197228,0.00197228
9,348.994,2.30007,2.1889,2.77025,1.94125,0.14315,0.19458,0.08378,0.02919,0.14898,0.18473,0.09108,0.02618,2.32826,2.34677,2.65087,2.08097,0.00196832,0.00196832,0.00196832
10,387.935,2.26266,2.14767,2.75121,1.91901,0.19639,0.13793,0.09209,0.03234,0.23244,0.15517,0.11421,0.03256,2.30022,2.26801,2.62495,2.04397,0.00196436,0.00196436,0.00196436
