
Model,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
deeplabv3resnet101, 0.4361, 0.5795, 0.6535, 0.6015, 0.9915, 0.6087, 3.4558,None,None
deeplabv3resnet101, 0.4364, 0.5797, 0.6532, 0.6022, 0.9915, 0.6087, 3.4569,None,None
deeplabv3resnet101_se, 0.3976, 0.5326, 0.5906, 0.5685, 0.9912, 0.5544, 3.5196,None,None
deeplabv3resnet101_se, 0.3976, 0.5323, 0.5898, 0.5824, 0.9912, 0.5538, 3.5266,None,None
deeplabv3resnet101_df, 0.4287, 0.5711, 0.6324, 0.6053, 0.9917, 0.5946, 3.4845,None,None
deeplabv3resnet101_df, 0.4335, 0.5754, 0.6683, 0.5844, 0.9915, 0.6146, 3.5017,None,None
deeplabv3resnet101_cbam_block, 0.4171, 0.5585, 0.6262, 0.5913, 0.9912, 0.5847, 3.5535,None,None
deeplabv3resnet101_cbam_block, 0.4211, 0.5619, 0.6608, 0.5707, 0.9909, 0.6035, 3.5584,None,None
deeplabv3resnet101_cbam_class, 0.4382, 0.5776, 0.6122, 0.6370, 0.9922, 0.5873, 3.5373,None,None
deeplabv3resnet101_cbam_class, 0.4441, 0.5826, 0.6473, 0.6143, 0.9920, 0.6079, 3.5449,None,None
