
Model,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
saumamba_no_weights, 0.0106, 0.0210, 1.0000, 0.0106, 0.0106, 0.0503, 16.0000,134.446207677944,2.479306326972114e-05
saumamba_no_weights, 0.0106, 0.0210, 1.0000, 0.0106, 0.0106, 0.0503, 16.0000,134.446207677944,2.479306326972114e-05
saumamba, 0.0106, 0.0210, 1.0000, 0.0106, 0.0106, 0.0503, 16.0000,81.45021889373479,4.092479281955295e-05
saumamba, 0.0106, 0.0210, 1.0000, 0.0106, 0.0106, 0.0503, 16.0000,81.45021889373479,4.092479281955295e-05
umambaBot, 0.3891, 0.5226, 0.5243, 0.6146, 0.9918, 0.5154, 3.6251,241.02660467318665,1.3829731941223145e-05
umambaBot, 0.3896, 0.5228, 0.5235, 0.6192, 0.9918, 0.5151, 3.6317,241.02660467318665,1.3829731941223145e-05
umambaEnc, 0.3457, 0.4754, 0.4819, 0.5646, 0.9907, 0.4695, 3.7765,184.54753052469476,1.8062194188435874e-05
umambaEnc, 0.3460, 0.4754, 0.4813, 0.5698, 0.9908, 0.4692, 3.7824,184.54753052469476,1.8062194188435874e-05
attumambaBot, 0.3905, 0.5307, 0.5954, 0.5593, 0.9907, 0.5545, 3.5958,148.42253216768006,2.2458404964870876e-05
attumambaBot, 0.3909, 0.5311, 0.5953, 0.5602, 0.9907, 0.5546, 3.6026,148.42253216768006,2.2458404964870876e-05
attumambaBot_2, 0.4021, 0.5401, 0.5778, 0.5976, 0.9916, 0.5510, 3.5109,204.87509419142566,1.627007590399848e-05
attumambaBot_2, 0.4024, 0.5400, 0.5772, 0.6074, 0.9916, 0.5506, 3.5143,204.87509419142566,1.627007590399848e-05
attumambaEnc, 0.3832, 0.5154, 0.5470, 0.6138, 0.9915, 0.5229, 3.6236,138.37510660280304,2.4089111222161187e-05
attumambaEnc, 0.3834, 0.5155, 0.5469, 0.6211, 0.9915, 0.5229, 3.6254,138.37510660280304,2.4089111222161187e-05
attumambaEnc_2, 0.3449, 0.4784, 0.4984, 0.5511, 0.9906, 0.4799, 3.6907,180.07791647978485,1.8510505888197158e-05
attumambaEnc_2, 0.3451, 0.4784, 0.4980, 0.5567, 0.9907, 0.4797, 3.6954,180.07791647978485,1.8510505888197158e-05
nnU-MambaBot, 0.4805, 0.6228, 0.6388, 0.6939, 0.9928, 0.6210, 3.4883,180.07791647978485,1.8510505888197158e-05
nnU-MambaBot, 0.4894, 0.6300, 0.6789, 0.6707, 0.9926, 0.6456, 3.4932,180.07791647978485,1.8510505888197158e-05
nnU-attUMambaBot_2_2_2, 0.4897, 0.6335, 0.6474, 0.7042, 0.9930, 0.6316, 3.4777,180.07791647978485,1.8510505888197158e-05
nnU-attUMambaBot_2_2_2, 0.4976, 0.6404, 0.6878, 0.6769, 0.9928, 0.6564, 3.4926,180.07791647978485,1.8510505888197158e-05
xLSTM-UNet, 0.4090, 0.5472, 0.5329, 0.6643, 0.9922, 0.5290, 3.7119,180.07791647978485,1.8510505888197158e-05
xLSTM-UNet, 0.4205, 0.5582, 0.5700, 0.6420, 0.9921, 0.5543, 3.7198,180.07791647978485,1.8510505888197158e-05
xLSTM-UNet, 0.4214, 0.5623, 0.5771, 0.6406, 0.9919, 0.5592, 3.5697,180.07791647978485,1.8510505888197158e-05
xLSTM-UNet, 0.4308, 0.5706, 0.6152, 0.6216, 0.9918, 0.5830, 3.5760,180.07791647978485,1.8510505888197158e-05
LKM-UNet, 0.4729, 0.6162, 0.7611, 0.5762, 0.9912, 0.6785, 3.2917,180.07791647978485,1.8510505888197158e-05
LKM-UNet, 0.4666, 0.6097, 0.7926, 0.5489, 0.9906, 0.6891, 3.3264,180.07791647978485,1.8510505888197158e-05
