
Model,Optimiser,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
deeplabv3resnet101,RMSprop, 0.4361, 0.5795, 0.6535, 0.6015, 0.9915, 0.6087, 3.4558,241.85982142651199,1.3782087961832684e-05
deeplabv3resnet101,RMSprop, 0.4364, 0.5797, 0.6532, 0.6022, 0.9915, 0.6087, 3.4569,241.85982142651199,1.3782087961832684e-05
deeplabv3resnet101,adam, 0.4335, 0.5758, 0.6053, 0.6402, 0.9920, 0.5824, 3.5714,234.6837081963807,1.420351399315728e-05
deeplabv3resnet101,adam, 0.4337, 0.5758, 0.6050, 0.6457, 0.9921, 0.5823, 3.5750,234.6837081963807,1.420351399315728e-05
deeplabv3resnet101,SGD, 0.3401, 0.4735, 0.5984, 0.4890, 0.9886, 0.5255, 3.7720,245.59762734988684,1.3572335243225099e-05
deeplabv3resnet101,SGD, 0.3399, 0.4730, 0.5977, 0.4953, 0.9886, 0.5250, 3.7743,245.59762734988684,1.3572335243225099e-05
attentionunet,RMSprop, 0.3864, 0.5269, 0.5925, 0.5548, 0.9906, 0.5527, 3.5288,472.81108692074315,7.050032085842557e-06
attentionunet,RMSprop, 0.3873, 0.5276, 0.5919, 0.5583, 0.9907, 0.5528, 3.5322,472.81108692074315,7.050032085842557e-06
attentionunet,adam, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,498.90061091268956,6.681357489691841e-06
attentionunet,adam, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,498.90061091268956,6.681357489691841e-06
attentionunet,SGD, 0.1972, 0.2982, 0.3641, 0.3786, 0.9861, 0.3230, 4.1426,484.42226764180606,6.881048944261339e-06
attentionunet,SGD, 0.1971, 0.2977, 0.3628, 0.3789, 0.9862, 0.3221, 4.1496,484.42226764180606,6.881048944261339e-06
yolov8x-seg,RMSprop, 0.3448, 0.4553, 0.4756, 0.6914, 0.9909, 0.4587, 3.9202,484.42226764180606,6.881048944261339e-06
yolov8x-seg,RMSprop, 0.3401, 0.4507, 0.4577, 0.7022, 0.9910, 0.4470, 3.9030,484.42226764180606,6.881048944261339e-06
yolov8x-seg,adam, 0.3462, 0.4464, 0.4665, 0.7366, 0.9915, 0.4506, 3.9010,484.42226764180606,6.881048944261339e-06
yolov8x-seg,adam, 0.3406, 0.4414, 0.4476, 0.7467, 0.9915, 0.4381, 3.8833,484.42226764180606,6.881048944261339e-06
yolov8x-seg,SGD, 0.4211, 0.5495, 0.6166, 0.6603, 0.9915, 0.5760, 3.6834,484.42226764180606,6.881048944261339e-06
yolov8x-seg,SGD, 0.4146, 0.5443, 0.5927, 0.6714, 0.9916, 0.5614, 3.6766,484.42226764180606,6.881048944261339e-06
resunetplusplus,RMSprop, 0.1818, 0.2691, 0.3168, 0.3428, 0.9848, 0.2859, 4.1962,319.35246855880246,1.0437787903679742e-05
resunetplusplus,RMSprop, 0.1821, 0.2691, 0.3160, 0.3576, 0.9849, 0.2856, 4.2010,319.35246855880246,1.0437787903679742e-05
resunetplusplus,adam, 0.2516, 0.3672, 0.4339, 0.3720, 0.9851, 0.3938, 3.8237,322.74825536970616,1.0327967007954915e-05
resunetplusplus,adam, 0.2520, 0.3674, 0.4335, 0.3800, 0.9851, 0.3937, 3.8279,322.74825536970616,1.0327967007954915e-05
resunetplusplus,SGD, 0.0103, 0.0203, 0.5748, 0.0104, 0.4176, 0.0470, 5.7315,283.4037061436849,1.1761784553527833e-05
resunetplusplus,SGD, 0.0116, 0.0228, 0.7331, 0.0117, 0.3384, 0.0534, 6.2496,283.4037061436849,1.1761784553527833e-05
transunet,RMSprop, 0.3490, 0.4877, 0.5502, 0.5255, 0.9899, 0.5111, 3.6956,328.2005054891742,1.0156393051147462e-05
transunet,RMSprop, 0.3496, 0.4881, 0.5495, 0.5281, 0.9899, 0.5109, 3.6993,328.2005054891742,1.0156393051147462e-05
transunet,adam, 0.0433, 0.0741, 0.1016, 0.5846, 0.9839, 0.0827, 4.5839,311.82615725039915,1.0689716868930393e-05
transunet,adam, 0.0430, 0.0735, 0.1005, 0.6079, 0.9839, 0.0819, 4.5873,311.82615725039915,1.0689716868930393e-05
transunet,SGD, 0.0597, 0.0976, 0.1401, 0.4976, 0.9832, 0.1123, 4.5680,297.13126880402115,1.1218386226230197e-05
transunet,SGD, 0.0595, 0.0971, 0.1389, 0.5198, 0.9832, 0.1114, 4.5775,297.13126880402115,1.1218386226230197e-05
