
Model,Optimiser,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
deeplabv3resnet101, RMSprop, 0.4361, 0.5795, 0.6535, 0.6015, 0.9915, 0.6087, 3.4558,241.85982142651199,1.3782087961832684e-05
deeplabv3resnet101, RMSprop, 0.4364, 0.5797, 0.6532, 0.6022, 0.9915, 0.6087, 3.4569,241.85982142651199,1.3782087961832684e-05
deeplabv3resnet101, adam, 0.4335, 0.5758, 0.6053, 0.6402, 0.9920, 0.5824, 3.5714,234.6837081963807,1.420351399315728e-05
deeplabv3resnet101, adam, 0.4337, 0.5758, 0.6050, 0.6457, 0.9921, 0.5823, 3.5750,234.6837081963807,1.420351399315728e-05
deeplabv3resnet101, SGD, 0.3401, 0.4735, 0.5984, 0.4890, 0.9886, 0.5255, 3.7720,245.59762734988684,1.3572335243225099e-05
deeplabv3resnet101, SGD, 0.3399, 0.4730, 0.5977, 0.4953, 0.9886, 0.5250, 3.7743,245.59762734988684,1.3572335243225099e-05
attentionunet, RMSprop, 0.3864, 0.5269, 0.5925, 0.5548, 0.9906, 0.5527, 3.5288,472.81108692074315,7.050032085842557e-06
attentionunet, RMSprop, 0.3873, 0.5276, 0.5919, 0.5583, 0.9907, 0.5528, 3.5322,472.81108692074315,7.050032085842557e-06
attentionunet, adam, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,498.90061091268956,6.681357489691841e-06
attentionunet, adam, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,498.90061091268956,6.681357489691841e-06
attentionunet, SGD, 0.1972, 0.2982, 0.3641, 0.3786, 0.9861, 0.3230, 4.1426,484.42226764180606,6.881048944261339e-06
attentionunet, SGD, 0.1971, 0.2977, 0.3628, 0.3789, 0.9862, 0.3221, 4.1496,484.42226764180606,6.881048944261339e-06
yolov8x-seg, adam, 0.3462, 0.4464, 0.4665, 0.7366, 0.9915, 0.4506, 3.9010,484.42226764180606,6.881048944261339e-06
yolov8x-seg, adam, 0.3406, 0.4414, 0.4476, 0.7467, 0.9915, 0.4381, 3.8833,484.42226764180606,6.881048944261339e-06
yolov8x-seg, RMSprop, 0.3448, 0.4553, 0.4756, 0.6914, 0.9909, 0.4587, 3.9202,484.42226764180606,6.881048944261339e-06
yolov8x-seg, RMSprop, 0.3401, 0.4507, 0.4577, 0.7022, 0.9910, 0.4470, 3.9030,484.42226764180606,6.881048944261339e-06
yolov8x-seg, SGD, 0.4211, 0.5495, 0.6166, 0.6603, 0.9915, 0.5760, 3.6834,484.42226764180606,6.881048944261339e-06
yolov8x-seg, SGD, 0.4146, 0.5443, 0.5927, 0.6714, 0.9916, 0.5614, 3.6766,484.42226764180606,6.881048944261339e-06
