
Model,Jaccard,F1,Recall,Precision,Acc,F2,HD,MFPS,MSPF
deeplabv3resnet101, 0.4335, 0.5758, 0.6053, 0.6402, 0.9920, 0.5824, 3.5714,234.6837081963807,1.420351399315728e-05
deeplabv3resnet101, 0.4337, 0.5758, 0.6050, 0.6457, 0.9921, 0.5823, 3.5750,234.6837081963807,1.420351399315728e-05
attentionunet, 0.4214, 0.5618, 0.6339, 0.5879, 0.9912, 0.5904, 3.4743,498.90061091268956,6.681357489691841e-06
attentionunet, 0.4221, 0.5620, 0.6331, 0.5930, 0.9913, 0.5901, 3.4774,498.90061091268956,6.681357489691841e-06
yolov8x-seg, 0.3234, 0.4244, 0.4315, 0.7354, 0.9914, 0.4205, 4.0100,102.040816,0.0098
yolov8x-seg, 0.3163, 0.4183, 0.4124, 0.7452, 0.9915, 0.4075, 3.9999,102.040816,0.0098
resunetplusplus, 0.2516, 0.3672, 0.4339, 0.3720, 0.9851, 0.3938, 3.8237,322.74825536970616,1.0327967007954915e-05
resunetplusplus, 0.2520, 0.3674, 0.4335, 0.3800, 0.9851, 0.3937, 3.8279,322.74825536970616,1.0327967007954915e-05
transunet, 0.0433, 0.0741, 0.1016, 0.5846, 0.9839, 0.0827, 4.5839,311.82615725039915,1.0689716868930393e-05
transunet, 0.0430, 0.0735, 0.1005, 0.6079, 0.9839, 0.0819, 4.5873,311.82615725039915,1.0689716868930393e-05
